"Core","Property","Depth","Age_BP","Age_CE","Value"
"MSM05_3_343310_5_1","IP25_uggTOC",1,141,1809,0.282718
"MSM05_3_343310_5_1","IP25_uggTOC",3,147,1803,0.591974
"MSM05_3_343310_5_1","IP25_uggTOC",5,153,1797,0.876446
"MSM05_3_343310_5_1","IP25_uggTOC",6,156,1794,0.513719
"MSM05_3_343310_5_1","IP25_uggTOC",7,159,1791,0.548463
"MSM05_3_343310_5_1","IP25_uggTOC",11,169,1781,0.358081
"MSM05_3_343310_5_1","IP25_uggTOC",15,182,1768,0.434823
"MSM05_3_343310_5_1","IP25_uggTOC",16,185,1765,0.3111
"MSM05_3_343310_5_1","IP25_uggTOC",20,196,1754,0.463322
"MSM05_3_343310_5_1","IP25_uggTOC",24,209,1741,0.419488
"MSM05_3_343310_5_1","IP25_uggTOC",29,224,1726,0.162228
"MSM05_3_343310_5_1","IP25_uggTOC",33,235,1715,0.278327
"MSM05_3_343310_5_1","IP25_uggTOC",38,249,1701,0.165161
"MSM05_3_343310_5_1","IP25_uggTOC",43,264,1686,0.290374
"MSM05_3_343310_5_1","IP25_uggTOC",50,285,1665,0.18021
"MSM05_3_343310_5_1","IP25_uggTOC",54,298,1652,0.279552
"MSM05_3_343310_5_1","IP25_uggTOC",59,312,1638,0.163113
"MSM05_3_343310_5_1","IP25_uggTOC",64,328,1622,0.09697
"MSM05_3_343310_5_1","IP25_uggTOC",65,331,1619,0.1801
"MSM05_3_343310_5_1","IP25_uggTOC",70,345,1605,0.202939
"MSM05_3_343310_5_1","IP25_uggTOC",74,358,1592,0.145616
"MSM05_3_343310_5_1","IP25_uggTOC",75,361,1589,0.448688
"MSM05_3_343310_5_1","IP25_uggTOC",79,372,1578,0.321338
"MSM05_3_343310_5_1","IP25_uggTOC",80,377,1573,0.146587
"MSM05_3_343310_5_1","IP25_uggTOC",83,386,1564,0.132913
"MSM05_3_343310_5_1","IP25_uggTOC",88,400,1550,0.246046
"MSM05_3_343310_5_1","IP25_uggTOC",93,415,1535,0.150676
"MSM05_3_343310_5_1","IP25_uggTOC",95,421,1529,0.124789
"MSM05_3_343310_5_1","IP25_uggTOC",99,435,1515,0.23662
"MSM05_3_343310_5_1","IP25_uggTOC",104,449,1501,0.179823
"MSM05_3_343310_5_1","IP25_uggTOC",105,453,1497,0.131966
"MSM05_3_343310_5_1","IP25_uggTOC",108,463,1487,0.225812
"MSM05_3_343310_5_1","IP25_uggTOC",113,477,1473,0.174905
"MSM05_3_343310_5_1","IP25_uggTOC",115,484,1466,0.11862
"MSM05_3_343310_5_1","IP25_uggTOC",120,498,1452,0.180134
"MSM05_3_343310_5_1","IP25_uggTOC",124,513,1437,0.102048
"MSM05_3_343310_5_1","IP25_uggTOC",129,527,1423,0.214301
"MSM05_3_343310_5_1","IP25_uggTOC",133,541,1409,0.155266
"MSM05_3_343310_5_1","IP25_uggTOC",136,550,1400,0.06952
"MSM05_3_343310_5_1","IP25_uggTOC",138,555,1395,0.136484
"MSM05_3_343310_5_1","IP25_uggTOC",143,571,1379,0.129935
"MSM05_3_343310_5_1","IP25_uggTOC",146,582,1368,0.140739
"MSM05_3_343310_5_1","IP25_uggTOC",152,599,1351,0.136389
"MSM05_3_343310_5_1","IP25_uggTOC",156,614,1336,0.165854
"MSM05_3_343310_5_1","IP25_uggTOC",160,626,1324,0.128392
"MSM05_3_343310_5_1","IP25_uggTOC",165,642,1308,0.105051
"MSM05_3_343310_5_1","IP25_uggTOC",176,678,1272,0.203843
