"Core","Property","Depth","Age_BP","Age_CE","Value"
"OD1507","IP25_uggDw",10,-33,1983,0.0051
"OD1507","IP25_uggDw",15,20,1930,0.0038
"OD1507","IP25_uggDw",19,63,1887,0.0066
"OD1507","IP25_uggDw",25,128,1823,0.0082
"OD1507","IP25_uggDw",35,231,1719,0.0047
"OD1507","IP25_uggDw",40,279,1671,0.0037
"OD1507","IP25_uggDw",45,394,1556,0.0053
"OD1507","IP25_uggDw",58.7,670,1281,0.007
"OD1507","IP25_uggDw",63.7,773,1177,0.0103
"OD1507","IP25_uggDw",68.7,876,1074,0.0061
"OD1507","IP25_uggDw",73.7,977,973,0.0155
"OD1507","IP25_uggDw",78.7,1079,871,0.0155
"OD1507","IP25_uggDw",83.7,1180,770,0.0174
"OD1507","IP25_uggDw",88.7,1277,674,0.0109
"OD1507","IP25_uggDw",93.7,1383,567,0.0174
"OD1507","IP25_uggDw",98.7,1444,507,0.0144
"OD1507","IP25_uggDw",103.7,1502,448,0.0188
"OD1507","IP25_uggDw",108.7,1561,389,0.02
"OD1507","IP25_uggDw",113.7,1621,329,0.0207
"OD1507","IP25_uggDw",118.7,1683,268,0.0162
"OD1507","IP25_uggDw",123.7,1743,207,0.0253
"OD1507","IP25_uggDw",128.7,1804,146,0.0179
"OD1507","IP25_uggDw",133.7,1866,84,0.0118
"OD1507","IP25_uggDw",138.7,1928,22,0.0187
"OD1507","IP25_uggDw",143.7,1989,-39,0.0139
"OD1507","IP25_uggDw",148.7,2049,-99,0.0182
"OD1507","IP25_uggDw",153.7,2110,-160,0.0058
"OD1507","IP25_uggDw",158.7,2170,-220,0.0066
"OD1507","IP25_uggDw",163.7,2229,-279,0.0159
"OD1507","IP25_uggDw",168.7,2285,-335,0.0138
"OD1507","IP25_uggDw",173.7,2351,-401,0.0122
"OD1507","IP25_uggDw",183.7,2441,-491,0.0115
"OD1507","IP25_uggDw",188.7,2478,-528,0.0197
"OD1507","IP25_uggDw",193.7,2522,-572,0.0231
"OD1507","IP25_uggDw",198.7,2640,-690,0.03
"OD1507","IP25_uggDw",203.7,2735,-785,0.0192
"OD1507","IP25_uggDw",208.7,2836,-886,0.023
"OD1507","IP25_uggDw",218.7,3046,-1096,0.022
"OD1507","IP25_uggDw",223.7,3152,-1202,0.0162
"OD1507","IP25_uggDw",228.7,3256,-1306,0.0128
"OD1507","IP25_uggDw",233.7,3360,-1410,0.0178
"OD1507","IP25_uggDw",238.7,3466,-1516,0.0106
"OD1507","IP25_uggDw",243.7,3575,-1625,0.0096
"OD1507","IP25_uggDw",248.7,3682,-1732,0.0071
"OD1507","IP25_uggDw",253.7,3789,-1839,0.0089
"OD1507","IP25_uggDw",258.7,3894,-1944,0.0115
"OD1507","IP25_uggDw",263.7,4000,-2050,0.0052
"OD1507","IP25_uggDw",268.7,4108,-2158,0.0049
"OD1507","IP25_uggDw",273.7,4215,-2265,0.0045
"OD1507","IP25_uggDw",278.7,4320,-2370,0.0064
"OD1507","IP25_uggDw",288.7,4534,-2584,0.0065
"OD1507","IP25_uggDw",293.7,4639,-2689,0.0066
"OD1507","IP25_uggDw",308.7,4959,-3009,0.0053
"OD1507","IP25_uggDw",313.7,5061,-3111,0.0045
"OD1507","IP25_uggDw",318.7,5165,-3215,0.0055
"OD1507","IP25_uggDw",323.7,5296,-3346,0.0033
"OD1507","IP25_uggDw",333.7,5486,-3536,0.004
"OD1507","IP25_uggDw",338.7,5584,-3634,0.0024
"OD1507","IP25_uggDw",343.7,5684,-3734,0.0035
"OD1507","IP25_uggDw",348.7,5783,-3833,0.0069
"OD1507","IP25_uggDw",353.7,5881,-3931,0.0021
"OD1507","IP25_uggDw",358.7,5981,-4031,0.0038
"OD1507","IP25_uggDw",363.7,6080,-4130,0.005
"OD1507","IP25_uggDw",368.7,6179,-4229,0.0055
"OD1507","IP25_uggDw",373.7,6279,-4329,0.0032
"OD1507","IP25_uggDw",378.7,6378,-4428,0.004
"OD1507","IP25_uggDw",383.7,6476,-4526,0.0042
"OD1507","IP25_uggDw",388.7,6574,-4624,0.0051
"OD1507","IP25_uggDw",393.7,6671,-4721,0.0025
"OD1507","IP25_uggDw",398.7,6761,-4811,0.0039
"OD1507","IP25_uggDw",403.7,6883,-4933,0.0047
"OD1507","IP25_uggDw",408.7,7002,-5052,0.0025
