"Core","Property","Depth","Age_BP","Age_CE","Value"
"MSM05_5_723_2","IP25_uggTOC",7.5,180,1770,0.46
"MSM05_5_723_2","IP25_uggTOC",10.5,284,1666,0.46
"MSM05_5_723_2","IP25_uggTOC",12.5,354,1596,0.47
"MSM05_5_723_2","IP25_uggTOC",14.5,424,1526,0.49
"MSM05_5_723_2","IP25_uggTOC",17.5,528,1422,0.38
"MSM05_5_723_2","IP25_uggTOC",20.5,633,1317,0.39
"MSM05_5_723_2","IP25_uggTOC",22.5,703,1247,0.38
"MSM05_5_723_2","IP25_uggTOC",24.5,772,1178,0.38
"MSM05_5_723_2","IP25_uggTOC",26.5,842,1108,0.35
"MSM05_5_723_2","IP25_uggTOC",28.5,912,1038,0.33
"MSM05_5_723_2","IP25_uggTOC",30.5,982,968,0.32
"MSM05_5_723_2","IP25_uggTOC",32.5,1051,899,0.28
"MSM05_5_723_2","IP25_uggTOC",34.5,1121,829,0.35
"MSM05_5_723_2","IP25_uggTOC",36.5,1191,759,0.27
"MSM05_5_723_2","IP25_uggTOC",38.5,1261,689,0.27
"MSM05_5_723_2","IP25_uggTOC",40.5,1330,620,0.26
"MSM05_5_723_2","IP25_uggTOC",42.5,1400,550,0.3
"MSM05_5_723_2","IP25_uggTOC",44.5,1470,480,0.33
"MSM05_5_723_2","IP25_uggTOC",46.5,1540,410,0.3
"MSM05_5_723_2","IP25_uggTOC",48.5,1609,341,0.3
"MSM05_5_723_2","IP25_uggTOC",50.5,1679,271,0.26
"MSM05_5_723_2","IP25_uggTOC",52.5,1754,196,0.22
"MSM05_5_723_2","IP25_uggTOC",54.5,1835,115,0.27
"MSM05_5_723_2","IP25_uggTOC",56.5,1916,34,0.21
"MSM05_5_723_2","IP25_uggTOC",58.5,1996,-46,0.25
"MSM05_5_723_2","IP25_uggTOC",60.5,2077,-127,0.23
"MSM05_5_723_2","IP25_uggTOC",62.5,2157,-207,0.22
"MSM05_5_723_2","IP25_uggTOC",64.5,2238,-288,0.23
"MSM05_5_723_2","IP25_uggTOC",66.5,2319,-369,0.26
"MSM05_5_723_2","IP25_uggTOC",68.5,2399,-449,0.25
"MSM05_5_723_2","IP25_uggTOC",70.5,2480,-530,0.2
"MSM05_5_723_2","IP25_uggTOC",72.5,2561,-611,0.23
"MSM05_5_723_2","IP25_uggTOC",74.5,2641,-691,0.23
"MSM05_5_723_2","IP25_uggTOC",76.5,2722,-772,0.24
"MSM05_5_723_2","IP25_uggTOC",78.5,2802,-852,0.22
"MSM05_5_723_2","IP25_uggTOC",80.5,2883,-933,0.24
"MSM05_5_723_2","IP25_uggTOC",82.5,2964,-1014,0.24
"MSM05_5_723_2","IP25_uggTOC",84.5,3044,-1094,0.22
"MSM05_5_723_2","IP25_uggTOC",86.5,3125,-1175,0.21
"MSM05_5_723_2","IP25_uggTOC",88.5,3206,-1256,0.21
"MSM05_5_723_2","IP25_uggTOC",90.5,3286,-1336,0.21
"MSM05_5_723_2","IP25_uggTOC",92.5,3367,-1417,0.21
"MSM05_5_723_2","IP25_uggTOC",94.5,3447,-1497,0.19
"MSM05_5_723_2","IP25_uggTOC",96.5,3528,-1578,0.19
"MSM05_5_723_2","IP25_uggTOC",98.5,3609,-1659,0.23
"MSM05_5_723_2","IP25_uggTOC",100.5,3689,-1739,0.21
"MSM05_5_723_2","IP25_uggTOC",104.5,3875,-1925,0.2
"MSM05_5_723_2","IP25_uggTOC",106.5,3980,-2030,0.21
"MSM05_5_723_2","IP25_uggTOC",108.5,4085,-2135,0.17
"MSM05_5_723_2","IP25_uggTOC",110.5,4190,-2240,0.18
"MSM05_5_723_2","IP25_uggTOC",112.5,4296,-2346,0.17
"MSM05_5_723_2","IP25_uggTOC",116.5,4506,-2556,0.2
"MSM05_5_723_2","IP25_uggTOC",118.5,4611,-2661,0.17
"MSM05_5_723_2","IP25_uggTOC",120.5,4716,-2766,0.17
"MSM05_5_723_2","IP25_uggTOC",122.5,4821,-2871,0.2
"MSM05_5_723_2","IP25_uggTOC",124.5,4926,-2976,0.15
"MSM05_5_723_2","IP25_uggTOC",126.5,5031,-3081,0.15
"MSM05_5_723_2","IP25_uggTOC",128.5,5136,-3186,0.17
"MSM05_5_723_2","IP25_uggTOC",130.5,5241,-3291,0.15
"MSM05_5_723_2","IP25_uggTOC",132.5,5319,-3369,0.16
"MSM05_5_723_2","IP25_uggTOC",134.5,5370,-3420,0.17
"MSM05_5_723_2","IP25_uggTOC",136.5,5420,-3470,0.15
"MSM05_5_723_2","IP25_uggTOC",138.5,5471,-3521,0.15
"MSM05_5_723_2","IP25_uggTOC",140.5,5522,-3572,0.15
"MSM05_5_723_2","IP25_uggTOC",142.5,5572,-3622,0.16
"MSM05_5_723_2","IP25_uggTOC",144.5,5623,-3673,0.16
"MSM05_5_723_2","IP25_uggTOC",146.5,5673,-3723,0.13
"MSM05_5_723_2","IP25_uggTOC",148.5,5724,-3774,0.13
"MSM05_5_723_2","IP25_uggTOC",150.5,5774,-3824,0.13
"MSM05_5_723_2","IP25_uggTOC",152.5,5825,-3875,0.12
"MSM05_5_723_2","IP25_uggTOC",154.5,5876,-3926,0.1
"MSM05_5_723_2","IP25_uggTOC",156.5,5926,-3976,0.14
"MSM05_5_723_2","IP25_uggTOC",158.5,5977,-4027,0.11
"MSM05_5_723_2","IP25_uggTOC",160.5,6027,-4077,0.07
"MSM05_5_723_2","IP25_uggTOC",162.5,6078,-4128,0.13
"MSM05_5_723_2","IP25_uggTOC",166.5,6179,-4229,0.11
"MSM05_5_723_2","IP25_uggTOC",168.5,6229,-4279,0.13
"MSM05_5_723_2","IP25_uggTOC",170.5,6280,-4330,0.15
"MSM05_5_723_2","IP25_uggTOC",172.5,6331,-4381,0.11
"MSM05_5_723_2","IP25_uggTOC",174.5,6381,-4431,0.14
"MSM05_5_723_2","IP25_uggTOC",178.5,6482,-4532,0.14
"MSM05_5_723_2","IP25_uggTOC",180.5,6533,-4583,0.09
"MSM05_5_723_2","IP25_uggTOC",182.5,6581,-4631,0.13
"MSM05_5_723_2","IP25_uggTOC",184.5,6629,-4679,0.09
"MSM05_5_723_2","IP25_uggTOC",186.5,6677,-4727,0.12
"MSM05_5_723_2","IP25_uggTOC",188.5,6725,-4775,0.1
"MSM05_5_723_2","IP25_uggTOC",190,6761,-4811,0.08
"MSM05_5_723_2","IP25_uggTOC",192.5,6820,-4870,0.12
"MSM05_5_723_2","IP25_uggTOC",194.5,6868,-4918,0.13
"MSM05_5_723_2","IP25_uggTOC",196.5,6916,-4966,0.11
"MSM05_5_723_2","IP25_uggTOC",198.5,6964,-5014,0.11
"MSM05_5_723_2","IP25_uggTOC",200.5,7011,-5061,0.09
"MSM05_5_723_2","IP25_uggTOC",204.5,7107,-5157,0.05
"MSM05_5_723_2","IP25_uggTOC",208.5,7202,-5252,0.02
"MSM05_5_723_2","IP25_uggTOC",212.5,7298,-5348,0.02
"MSM05_5_723_2","IP25_uggTOC",216.5,7394,-5444,0.04
"MSM05_5_723_2","IP25_uggTOC",220.5,7489,-5539,0.02
"MSM05_5_723_2","IP25_uggTOC",224.5,7585,-5635,0.02
"MSM05_5_723_2","IP25_uggTOC",228.5,7680,-5730,0.04
"MSM05_5_723_2","IP25_uggTOC",232.5,7773,-5823,0.02
"MSM05_5_723_2","IP25_uggTOC",236.5,7858,-5908,0.03
"MSM05_5_723_2","IP25_uggTOC",240.5,7943,-5993,0.01
"MSM05_5_723_2","IP25_uggTOC",246.5,8070,-6120,0.03
"MSM05_5_723_2","IP25_uggTOC",248.5,8112,-6162,0.03
"MSM05_5_723_2","IP25_uggTOC",250.5,8154,-6204,0.03
"MSM05_5_723_2","IP25_uggTOC",252.5,8197,-6247,0.04
"MSM05_5_723_2","IP25_uggTOC",254.5,8239,-6289,0.04
"MSM05_5_723_2","IP25_uggTOC",256.5,8282,-6332,0.03
"MSM05_5_723_2","IP25_uggTOC",258.5,8324,-6374,0.03
"MSM05_5_723_2","IP25_uggTOC",260.5,8366,-6416,0.03
"MSM05_5_723_2","IP25_uggTOC",262.5,8409,-6459,0.04
"MSM05_5_723_2","IP25_uggTOC",264.5,8451,-6501,0.04
"MSM05_5_723_2","IP25_uggTOC",268.5,8536,-6586,0.04
"MSM05_5_723_2","IP25_uggTOC",270.5,8578,-6628,0.05
"MSM05_5_723_2","IP25_uggTOC",272.5,8621,-6671,0.05
"MSM05_5_723_2","IP25_uggTOC",274.5,8663,-6713,0.05
"MSM05_5_723_2","IP25_uggTOC",276.5,8705,-6755,0.06
"MSM05_5_723_2","IP25_uggTOC",278,8737,-6787,0.08
"MSM05_5_723_2","IP25_uggTOC",280,8779,-6829,0.1
"MSM05_5_723_2","IP25_uggTOC",284,8864,-6914,0.08
"MSM05_5_723_2","IP25_uggTOC",288,8949,-6999,0.06
"MSM05_5_723_2","IP25_uggTOC",292,9034,-7084,0.05
"MSM05_5_723_2","IP25_uggTOC",296,9118,-7168,0
"MSM05_5_723_2","IP25_uggTOC",300,9203,-7253,0.04
"MSM05_5_723_2","IP25_uggTOC",304,9277,-7327,0.05
"MSM05_5_723_2","IP25_uggTOC",308,9341,-7391,0.04
"MSM05_5_723_2","IP25_uggTOC",312,9404,-7454,0.05
"MSM05_5_723_2","IP25_uggTOC",315,9452,-7502,0.04
"MSM05_5_723_2","IP25_uggTOC",320,9532,-7582,0.08
"MSM05_5_723_2","IP25_uggTOC",324,9595,-7645,0.05
"MSM05_5_723_2","IP25_uggTOC",328,9659,-7709,0.06
"MSM05_5_723_2","IP25_uggTOC",332,9722,-7772,0.04
"MSM05_5_723_2","IP25_uggTOC",336,9786,-7836,0.04
"MSM05_5_723_2","IP25_uggTOC",340,9849,-7899,0.03
"MSM05_5_723_2","IP25_uggTOC",344,9913,-7963,0.07
"MSM05_5_723_2","IP25_uggTOC",348,9976,-8026,0.06
"MSM05_5_723_2","IP25_uggTOC",352,10040,-8090,0.06
"MSM05_5_723_2","IP25_uggTOC",356,10104,-8154,0.06
"MSM05_5_723_2","IP25_uggTOC",360,10167,-8217,0.08
"MSM05_5_723_2","IP25_uggTOC",364,10231,-8281,0.08
"MSM05_5_723_2","IP25_uggTOC",368,10294,-8344,0.05
"MSM05_5_723_2","IP25_uggTOC",372,10358,-8408,0.08
"MSM05_5_723_2","IP25_uggTOC",378.5,10461,-8511,0.07
"MSM05_5_723_2","IP25_uggTOC",382.5,10525,-8575,0.05
"MSM05_5_723_2","IP25_uggTOC",386.5,10588,-8638,0.06
"MSM05_5_723_2","IP25_uggTOC",390.5,10652,-8702,0.09
"MSM05_5_723_2","IP25_uggTOC",394.5,10715,-8765,0.08
"MSM05_5_723_2","IP25_uggTOC",398.5,10779,-8829,0.09
"MSM05_5_723_2","IP25_uggTOC",402.5,10843,-8893,0.06
"MSM05_5_723_2","IP25_uggTOC",407.5,10922,-8972,0.06
"MSM05_5_723_2","IP25_uggTOC",412.5,11001,-9051,0.07
"MSM05_5_723_2","IP25_uggTOC",416.5,11065,-9115,0.06
"MSM05_5_723_2","IP25_uggTOC",420.5,11129,-9179,0.07
"MSM05_5_723_2","IP25_uggTOC",424.5,11192,-9242,0.12
"MSM05_5_723_2","IP25_uggTOC",428.5,11256,-9306,0.1
"MSM05_5_723_2","IP25_uggTOC",432.5,11319,-9369,0.11
"MSM05_5_723_2","IP25_uggTOC",436.5,11383,-9433,0.12
"MSM05_5_723_2","IP25_uggTOC",440.5,11446,-9496,0.16
"MSM05_5_723_2","IP25_uggTOC",444.5,11510,-9560,0.19
"MSM05_5_723_2","IP25_uggTOC",448.5,11574,-9624,0.24
"MSM05_5_723_2","IP25_uggTOC",452.5,11637,-9687,0.31
"MSM05_5_723_2","IP25_uggTOC",456.5,11701,-9751,0.6
