"Core","Property","Depth","Age_BP","Age_CE","Value"
"AMD16_117Q","IP25_uggTOC",0.5,-62,2012,7.541
"AMD16_117Q","IP25_uggTOC",1.5,-56,2006,8.998
"AMD16_117Q","IP25_uggTOC",2.5,-51,2001,7.944
"AMD16_117Q","IP25_uggTOC",3.5,-45,1995,11.177
"AMD16_117Q","IP25_uggTOC",4.5,-39,1989,4.987
"AMD16_117Q","IP25_uggTOC",5.5,-31,1981,8.922
"AMD16_117Q","IP25_uggTOC",6.5,-22,1972,9.254
"AMD16_117Q","IP25_uggTOC",7.5,-13,1963,9.665
"AMD16_117Q","IP25_uggTOC",8.25,NA,1953,9.339
"AMD16_117Q","IP25_uggTOC",9.5,6,1944,8.439
"AMD16_117Q","IP25_uggTOC",10.5,15,1935,7.614
"AMD16_117Q","IP25_uggTOC",11.5,24,1926,7.062
"AMD16_117Q","IP25_uggTOC",12.25,NA,1917,8.8505
"AMD16_117Q","IP25_uggTOC",13.5,42,1908,5.175
"AMD16_117Q","IP25_uggTOC",14.5,50,1900,6.47
"AMD16_117Q","IP25_uggTOC",15.5,61,1889,5.794
"AMD16_117Q","IP25_uggTOC",16.25,NA,1877,7.77
"AMD16_117Q","IP25_uggTOC",17.5,82,1868,8.886
"AMD16_117Q","IP25_uggTOC",18.5,92,1858,7.74
"AMD16_117Q","IP25_uggTOC",19.5,100,1850,7.276
"AMD16_117Q","IP25_uggTOC",20.25,NA,1837,8.0875
"AMD16_117Q","IP25_uggTOC",21.5,129,1821,8.078
"AMD16_117Q","IP25_uggTOC",22.5,144,1806,6.932
"AMD16_117Q","IP25_uggTOC",23.5,158,1792,8.851
"AMD16_117Q","IP25_uggTOC",24.25,NA,1779,7.652
"AMD16_117Q","IP25_uggTOC",25.5,185,1765,7.815
"AMD16_117Q","IP25_uggTOC",26.5,201,1749,7.303
"AMD16_117Q","IP25_uggTOC",27.5,217,1733,7.542
"AMD16_117Q","IP25_uggTOC",28.25,NA,1718,7.532
"AMD16_117Q","IP25_uggTOC",29.5,247,1703,8.075
"AMD16_117Q","IP25_uggTOC",30.5,262,1688,7.057
"AMD16_117Q","IP25_uggTOC",31.5,278,1672,6.85
"AMD16_117Q","IP25_uggTOC",32.25,NA,1655,6.6685
"AMD16_117Q","IP25_uggTOC",33.5,311,1639,7.3
"AMD16_117Q","IP25_uggTOC",34.5,326,1624,5.798
"AMD16_117Q","IP25_uggTOC",35.5,341,1609,6.044
"AMD16_117Q","IP25_uggTOC",36.25,NA,1593,5.735
"AMD16_117Q","IP25_uggTOC",37.5,373,1577,6.021
"AMD16_117Q","IP25_uggTOC",40,419,1531,5.52
"AMD16_117Q","IP25_uggTOC",44,481,1469,4.78
"AMD16_117Q","IP25_uggTOC",48,545,1406,5.101
"AMD16_117Q","IP25_uggTOC",52,606,1344,4.807
"AMD16_117Q","IP25_uggTOC",56,667,1283,4.086
"AMD16_117Q","IP25_uggTOC",60,728,1222,3.993
"AMD16_117Q","IP25_uggTOC",64,786,1164,4.174
"AMD16_117Q","IP25_uggTOC",72,939,1011,3.817
"AMD16_117Q","IP25_uggTOC",76,1031,919,3.913
"AMD16_117Q","IP25_uggTOC",80,1128,822,3.824
"AMD16_117Q","IP25_uggTOC",84,1229,721,3.699
"AMD16_117Q","IP25_uggTOC",88,1328,622,3.707
"AMD16_117Q","IP25_uggTOC",92,1425,525,4.115
"AMD16_117Q","IP25_uggTOC",108,1885,65,3.881
"AMD16_117Q","IP25_uggTOC",112,2022,-72,3.646
"AMD16_117Q","IP25_uggTOC",116,2157,-207,3.466
"AMD16_117Q","IP25_uggTOC",120,2293,-343,3.425
"AMD16_117Q","IP25_uggTOC",124,2432,-482,3.504
