"Core","Property","Depth","Age_BP","Age_CE","Value"
"JR51_GC35","IP25_nggDw",0.5,70,1880,1.544
"JR51_GC35","IP25_nggDw",5.5,152,1798,1.908
"JR51_GC35","IP25_nggDw",9.5,218,1732,2.461
"JR51_GC35","IP25_nggDw",13.5,284,1666,2.127
"JR51_GC35","IP25_nggDw",17.5,349,1601,1.813
"JR51_GC35","IP25_nggDw",21.5,415,1535,1.363
"JR51_GC35","IP25_nggDw",22.5,431,1519,1.477
"JR51_GC35","IP25_nggDw",25.5,480,1470,1.117
"JR51_GC35","IP25_nggDw",33.5,611,1339,1.258
"JR51_GC35","IP25_nggDw",37.5,677,1273,0.877
"JR51_GC35","IP25_nggDw",39.5,710,1240,0.943
"JR51_GC35","IP25_nggDw",41.5,743,1207,1.021
"JR51_GC35","IP25_nggDw",45.5,808,1142,1.08
"JR51_GC35","IP25_nggDw",53.5,939,1011,1.109
"JR51_GC35","IP25_nggDw",57.5,972,978,1.002
"JR51_GC35","IP25_nggDw",61.5,1065,885,1.115
"JR51_GC35","IP25_nggDw",64.5,1135,815,0.471
"JR51_GC35","IP25_nggDw",68.5,1228,722,0.666
"JR51_GC35","IP25_nggDw",73.5,1344,606,0.902
"JR51_GC35","IP25_nggDw",77.5,1437,513,0.8
"JR51_GC35","IP25_nggDw",81.5,1530,420,0.584
"JR51_GC35","IP25_nggDw",85.5,1623,327,0.46
"JR51_GC35","IP25_nggDw",88.5,1693,257,0.811
"JR51_GC35","IP25_nggDw",94.5,1832,118,0.513
"JR51_GC35","IP25_nggDw",96.5,1879,71,0.493
"JR51_GC35","IP25_nggDw",100.5,1972,-22,0.419
"JR51_GC35","IP25_nggDw",104.5,2065,-115,0.315
"JR51_GC35","IP25_nggDw",106.5,2111,-161,0.367
"JR51_GC35","IP25_nggDw",112.5,2251,-301,0.334
"JR51_GC35","IP25_nggDw",115.5,2320,-370,0.502
"JR51_GC35","IP25_nggDw",116.5,2344,-394,0.431
"JR51_GC35","IP25_nggDw",120.5,2437,-487,0.371
"JR51_GC35","IP25_nggDw",124.5,2530,-580,0.403
"JR51_GC35","IP25_nggDw",128.5,2623,-673,0.336
"JR51_GC35","IP25_nggDw",140.5,2902,-952,0.358
"JR51_GC35","IP25_nggDw",144.5,2995,-1045,0.318
"JR51_GC35","IP25_nggDw",152.5,3181,-1231,0.368
"JR51_GC35","IP25_nggDw",156.5,3274,-1324,0.359
"JR51_GC35","IP25_nggDw",160.5,3367,-1417,0.32
