"Core","Property","Depth","Age_BP","Age_CE","Value"
"MSM05/5_712-1","IP25_nggDw",0.5,-39,1989,1.74
"MSM05/5_712-1","IP25_nggDw",1.5,-3,1953,1.85
"MSM05/5_712-1","IP25_nggDw",2.5,33,1917,1.88
"MSM05/5_712-1","IP25_nggDw",3.5,69,1881,2.18
"MSM05/5_712-1","IP25_nggDw",4.5,106,1844,2.33
"MSM05/5_712-1","IP25_nggDw",5.5,142,1808,1.64
"MSM05/5_712-1","IP25_nggDw",6.5,178,1772,1.77
"MSM05/5_712-1","IP25_nggDw",7.5,214,1736,1.7
"MSM05/5_712-1","IP25_nggDw",8.5,250,1700,1.94
"MSM05/5_712-1","IP25_nggDw",9.5,286,1664,1.81
"MSM05/5_712-1","IP25_nggDw",10.5,322,1628,2.44
"MSM05/5_712-1","IP25_nggDw",11.5,359,1591,2.66
"MSM05/5_712-1","IP25_nggDw",12.5,395,1555,2.58
"MSM05/5_712-1","IP25_nggDw",13.5,431,1519,2.98
"MSM05/5_712-1","IP25_nggDw",14.5,467,1483,3.36
"MSM05/5_712-1","IP25_nggDw",15.5,516,1434,2.87
"MSM05/5_712-1","IP25_nggDw",16.5,570,1380,3
"MSM05/5_712-1","IP25_nggDw",17.5,623,1327,3.11
"MSM05/5_712-1","IP25_nggDw",18.5,677,1273,3.21
"MSM05/5_712-1","IP25_nggDw",19.5,730,1220,2.84
"MSM05/5_712-1","IP25_nggDw",20.5,784,1166,2.67
"MSM05/5_712-1","IP25_nggDw",21.5,838,1112,2.77
"MSM05/5_712-1","IP25_nggDw",22.5,888,1062,2.17
"MSM05/5_712-1","IP25_nggDw",23.5,938,1012,2.52
"MSM05/5_712-1","IP25_nggDw",24.5,989,961,2.01
"MSM05/5_712-1","IP25_nggDw",25.5,1039,911,2.31
"MSM05/5_712-1","IP25_nggDw",26.5,1089,861,2.76
"MSM05/5_712-1","IP25_nggDw",27.5,1139,811,1.78
"MSM05/5_712-1","IP25_nggDw",28.5,1190,760,2.27
"MSM05/5_712-1","IP25_nggDw",29.5,1240,710,2.28
"MSM05/5_712-1","IP25_nggDw",30.5,1290,660,2.22
"MSM05/5_712-1","IP25_nggDw",31.5,1341,609,2.5
"MSM05/5_712-1","IP25_nggDw",32.5,1392,558,2.48
"MSM05/5_712-1","IP25_nggDw",33.5,1443,507,2.84
"MSM05/5_712-1","IP25_nggDw",34.5,1495,455,2.63
"MSM05/5_712-1","IP25_nggDw",35.5,1546,404,2.98
"MSM05/5_712-1","IP25_nggDw",36.5,1597,353,2.74
"MSM05/5_712-1","IP25_nggDw",37.5,1648,302,2.26
"MSM05/5_712-1","IP25_nggDw",38.5,1699,251,2.32
"MSM05/5_712-1","IP25_nggDw",39.5,1750,200,2.02
"MSM05/5_712-1","IP25_nggDw",40.5,1801,149,1.77
"MSM05/5_712-1","IP25_nggDw",41.5,1852,98,1.75
"MSM05/5_712-1","IP25_nggDw",42.5,1903,47,1.75
