"Core","Property","Depth","Age_BP","Age_CE","Value"
"JM09_KA11_GC","IP25_nggDw",0,0,1950,1.46
"JM09_KA11_GC","IP25_nggDw",0.5,53,1897,1.22
"JM09_KA11_GC","IP25_nggDw",1.5,159,1791,1.42
"JM09_KA11_GC","IP25_nggDw",3.3,317,1633,1.05
"JM09_KA11_GC","IP25_nggDw",3.8,397,1553,1.7
"JM09_KA11_GC","IP25_nggDw",4.3,450,1500,1.33
"JM09_KA11_GC","IP25_nggDw",4.8,496,1454,1
"JM09_KA11_GC","IP25_nggDw",5.3,535,1415,1.23
"JM09_KA11_GC","IP25_nggDw",5.8,574,1376,0.76
"JM09_KA11_GC","IP25_nggDw",6.3,614,1336,0.92
"JM09_KA11_GC","IP25_nggDw",6.8,653,1297,0.46
"JM09_KA11_GC","IP25_nggDw",7.3,692,1258,0.61
"JM09_KA11_GC","IP25_nggDw",7.8,731,1219,0.49
"JM09_KA11_GC","IP25_nggDw",8.3,770,1180,0.77
"JM09_KA11_GC","IP25_nggDw",8.8,809,1141,0.72
"JM09_KA11_GC","IP25_nggDw",9.3,849,1101,0.64
"JM09_KA11_GC","IP25_nggDw",9.8,888,1062,0.62
"JM09_KA11_GC","IP25_nggDw",13.5,1181,769,0
"JM09_KA11_GC","IP25_nggDw",16.5,1536,414,0
"JM09_KA11_GC","IP25_nggDw",16.8,1615,335,0
"JM09_KA11_GC","IP25_nggDw",18.3,2091,-141,0
"JM09_KA11_GC","IP25_nggDw",19.3,2409,-459,0
"JM09_KA11_GC","IP25_nggDw",21.8,3202,-1252,0.7
"JM09_KA11_GC","IP25_nggDw",22.3,3361,-1411,0
"JM09_KA11_GC","IP25_nggDw",23.3,3678,-1728,0
"JM09_KA11_GC","IP25_nggDw",23.8,3837,-1887,0
"JM09_KA11_GC","IP25_nggDw",24.8,4155,-2205,0
"JM09_KA11_GC","IP25_nggDw",26.8,4789,-2839,0
"JM09_KA11_GC","IP25_nggDw",28.3,5098,-3148,0
"JM09_KA11_GC","IP25_nggDw",30.8,5335,-3385,0.61
"JM09_KA11_GC","IP25_nggDw",33.3,5572,-3622,0.05
